Data;Produto;Volume (kg)
2022-02-11;Tomate;795
2022-08-16;Tomate;652
2022-12-15;Cebola;739
2022-12-28;Cebola;629
2022-12-08;Batata Inglesa;611
2022-01-03;Cebola;662
2022-03-11;Batata Inglesa;541
2022-08-01;Batata Inglesa;525
2022-05-30;Batata Inglesa;530
2022-11-01;Batata Inglesa;507
2022-01-11;Batata Inglesa;593
2022-12-28;Cebola;229
2022-08-04;Cebola;939
2022-05-23;Tomate;564
2022-08-05;Cebola;361
2022-06-28;Cebola;713
2022-02-02;Tomate;664
2022-09-26;Batata Inglesa;480
2022-05-19;Batata Inglesa;413
2022-02-09;Cebola;453
2022-06-14;Cebola;953
2022-06-01;Cebola;567
2022-01-26;Cebola;317
2022-08-04;Cebola;356
2022-06-10;Cebola;513
2022-07-28;Cebola;116
2022-09-22;Tomate;514
2022-04-12;Tomate;663
2022-07-04;Tomate;418
2022-10-20;Batata Inglesa;509
2022-10-20;Batata Inglesa;435
2022-08-09;Cebola;545
2022-11-21;Cebola;471
2022-06-09;Tomate;242
2022-07-27;Tomate;599
2022-09-20;Batata Inglesa;537
2022-05-13;Batata Inglesa;851
2022-05-31;Tomate;714
2022-12-27;Cebola;340
2022-03-30;Cebola;767
2022-11-04;Cebola;999
2022-06-06;Batata Inglesa;272
2022-05-02;Tomate;349
2022-02-17;Tomate;614
2022-11-01;Batata Inglesa;495
2022-11-17;Cebola;762
2022-12-02;Batata Inglesa;610
2022-04-20;Cebola;569
2022-08-22;Batata Inglesa;517
2022-12-08;Tomate;752
2022-04-18;Tomate;678
2022-07-21;Tomate;922
2022-03-15;Tomate;659
2022-10-04;Cebola;667
2022-01-12;Cebola;410
2022-08-25;Tomate;370
2022-10-20;Tomate;889
2022-05-02;Cebola;691
2022-06-03;Tomate;295
2022-03-28;Cebola;687
2022-07-07;Cebola;490
2022-10-11;Tomate;743
2022-01-19;Tomate;786
2022-06-13;Cebola;477
2022-03-18;Tomate;522
2022-10-04;Batata Inglesa;237
2022-01-25;Cebola;443
2022-08-31;Cebola;281
2022-12-16;Batata Inglesa;442
2022-11-14;Batata Inglesa;318
2022-10-17;Tomate;941
2022-09-06;Batata Inglesa;720
2022-09-19;Cebola;855
2022-05-24;Cebola;271
2022-08-26;Batata Inglesa;100
2022-10-11;Batata Inglesa;258
2022-11-04;Tomate;429
2022-01-14;Tomate;586
2022-06-17;Batata Inglesa;304
2022-05-10;Cebola;648
2022-09-29;Batata Inglesa;921
2022-07-05;Cebola;449
2022-05-17;Tomate;304
2022-06-21;Cebola;325
2022-02-24;Cebola;660
2022-09-22;Batata Inglesa;490
2022-04-04;Cebola;695
2022-02-07;Cebola;446
2022-07-15;Cebola;584
2022-12-23;Batata Inglesa;721
2022-10-21;Cebola;445
2022-11-28;Cebola;347
2022-03-01;Cebola;707
2022-12-22;Cebola;610
2022-01-27;Tomate;542
2022-05-18;Tomate;416
2022-05-20;Cebola;517
2022-01-04;Cebola;149
2022-05-20;Batata Inglesa;748
2022-10-06;Cebola;635
2022-06-29;Tomate;552
2022-04-08;Tomate;621
2022-09-21;Cebola;676
2022-05-30;Cebola;960
2022-07-19;Tomate;326
2022-02-03;Cebola;330
2022-07-15;Tomate;700
2022-07-29;Batata Inglesa;584
2022-08-16;Tomate;999
2022-11-02;Cebola;673
2022-07-04;Batata Inglesa;448
2022-11-18;Tomate;421
2022-05-10;Batata Inglesa;593
2022-11-09;Batata Inglesa;581
2022-05-23;Batata Inglesa;748
2022-10-27;Tomate;416
2022-09-09;Cebola;670
2022-06-27;Tomate;347
2022-03-09;Tomate;768
2022-12-14;Tomate;508
2022-01-26;Batata Inglesa;522
2022-11-10;Tomate;757
2022-10-07;Cebola;758
2022-12-15;Batata Inglesa;465
2022-01-04;Cebola;571
2022-05-05;Cebola;647
2022-02-17;Batata Inglesa;386
2022-06-13;Tomate;890
2022-08-11;Batata Inglesa;934
2022-05-19;Batata Inglesa;778
2022-06-16;Batata Inglesa;540
2022-01-20;Tomate;419
2022-07-20;Tomate;541
2022-07-21;Batata Inglesa;424
2022-11-02;Tomate;575
2022-09-22;Tomate;649
2022-04-08;Batata Inglesa;951
2022-07-14;Cebola;529
2022-10-19;Cebola;343
2022-06-30;Cebola;622
2022-07-20;Cebola;905
2022-08-22;Tomate;136
2022-06-03;Batata Inglesa;304
2022-11-18;Cebola;261
2022-12-02;Cebola;649
2022-05-05;Cebola;703
2022-01-07;Batata Inglesa;980
2022-03-21;Cebola;352
2022-01-07;Batata Inglesa;212
2022-06-09;Cebola;151
2022-05-31;Batata Inglesa;513
2022-11-22;Cebola;708
2022-06-22;Cebola;100
2022-04-21;Cebola;289
2022-04-05;Cebola;760
2022-01-17;Tomate;441
2022-05-31;Tomate;662
2022-03-01;Cebola;465
2022-08-10;Batata Inglesa;253
2022-10-03;Tomate;538
2022-01-06;Batata Inglesa;551
2022-08-02;Tomate;351
2022-05-30;Tomate;404
2022-10-10;Cebola;326
2022-04-13;Batata Inglesa;283
2022-10-03;Batata Inglesa;215
2022-12-19;Tomate;477
2022-05-09;Cebola;737
2022-02-24;Cebola;100
2022-10-27;Cebola;430
2022-10-20;Cebola;767
2022-11-04;Cebola;365
2022-11-17;Cebola;469
2022-03-29;Cebola;329
2022-05-02;Batata Inglesa;286
2022-01-04;Cebola;542
2022-05-13;Tomate;318
2022-09-27;Tomate;249
2022-05-02;Tomate;810
2022-06-28;Tomate;829
2022-05-09;Batata Inglesa;435
2022-02-02;Tomate;502
2022-07-14;Tomate;396
2022-11-18;Batata Inglesa;649
2022-07-22;Tomate;712
2022-08-18;Batata Inglesa;430
2022-06-07;Batata Inglesa;699
2022-06-02;Tomate;570
2022-06-28;Batata Inglesa;346
2022-04-22;Tomate;827
2022-02-22;Tomate;293
2022-08-30;Cebola;819
2022-08-17;Batata Inglesa;198
2022-08-26;Cebola;566
2022-01-14;Cebola;547
2022-05-02;Batata Inglesa;625
2022-10-04;Cebola;652
2022-10-31;Cebola;445
2022-12-08;Cebola;335
2022-06-16;Batata Inglesa;719
2022-10-06;Cebola;649
2022-02-11;Tomate;726
2022-06-07;Batata Inglesa;604
2022-03-04;Tomate;403
2022-02-07;Batata Inglesa;535
2022-10-19;Batata Inglesa;742
2022-11-03;Tomate;689
2022-12-21;Tomate;484
2022-01-18;Cebola;178
2022-03-01;Tomate;459
2022-04-11;Cebola;551
2022-10-05;Cebola;538
2022-02-22;Batata Inglesa;290
2022-11-17;Batata Inglesa;638
2022-10-27;Tomate;824
2022-12-01;Batata Inglesa;814
2022-12-28;Batata Inglesa;755
2022-10-25;Cebola;426
2022-04-04;Tomate;999
2022-06-06;Batata Inglesa;506
2022-07-08;Cebola;883
2022-05-25;Batata Inglesa;212
2022-05-13;Batata Inglesa;549
2022-09-30;Cebola;172
2022-11-04;Cebola;410
2022-06-23;Cebola;344
2022-02-02;Tomate;549
2022-02-07;Batata Inglesa;700
2022-08-09;Batata Inglesa;696
2022-02-10;Tomate;694
2022-10-07;Tomate;267
2022-11-29;Tomate;576
2022-05-30;Batata Inglesa;448
2022-10-27;Tomate;529
2022-12-27;Tomate;999
2022-06-28;Tomate;740
2022-07-01;Cebola;452
2022-12-09;Batata Inglesa;563
2022-03-18;Batata Inglesa;616
2022-01-06;Tomate;295
2022-07-22;Tomate;755
2022-03-31;Cebola;265
2022-07-27;Tomate;787
2022-01-24;Tomate;725
2022-08-24;Cebola;721
2022-09-30;Cebola;851
2022-03-18;Tomate;382
2022-03-16;Batata Inglesa;835
2022-09-12;Tomate;633
2022-05-20;Batata Inglesa;366
2022-06-16;Batata Inglesa;358
2022-08-08;Tomate;741
2022-12-07;Batata Inglesa;700
2022-03-23;Tomate;372
2022-07-19;Batata Inglesa;428
2022-01-14;Batata Inglesa;504
2022-04-13;Cebola;777
2022-09-22;Batata Inglesa;387
2022-11-24;Batata Inglesa;517
2022-10-10;Cebola;812
2022-07-01;Cebola;596
2022-01-31;Cebola;437
2022-01-21;Tomate;478
2022-07-07;Batata Inglesa;682
2022-04-19;Tomate;200
2022-01-10;Cebola;582
2022-07-13;Batata Inglesa;528
2022-01-05;Cebola;217
2022-05-06;Cebola;890
2022-05-18;Batata Inglesa;689
2022-03-18;Batata Inglesa;458
2022-03-09;Cebola;507
2022-10-18;Cebola;553
2022-05-23;Batata Inglesa;221
2022-09-09;Batata Inglesa;481
2022-02-04;Batata Inglesa;276
2022-04-11;Cebola;751
2022-05-09;Tomate;473
2022-06-02;Batata Inglesa;695
2022-08-24;Cebola;565
2022-04-06;Batata Inglesa;950
2022-05-17;Tomate;562
2022-10-25;Tomate;383
2022-08-02;Batata Inglesa;760
2022-04-20;Batata Inglesa;434
2022-05-27;Cebola;312
2022-04-22;Tomate;618
2022-05-20;Tomate;490
2022-03-04;Cebola;425
2022-01-05;Cebola;770
2022-03-29;Batata Inglesa;602
2022-08-19;Batata Inglesa;330
2022-08-26;Batata Inglesa;398
2022-03-21;Cebola;774
2022-02-25;Cebola;838
2022-07-29;Tomate;456
2022-09-22;Cebola;926
2022-11-17;Batata Inglesa;401
2022-01-14;Batata Inglesa;364
2022-02-10;Batata Inglesa;523
2022-01-06;Tomate;684
2022-07-07;Batata Inglesa;958
2022-04-20;Cebola;740
2022-06-15;Cebola;962
2022-01-11;Tomate;361
2022-09-20;Cebola;772
2022-12-09;Tomate;856
2022-04-11;Tomate;692
2022-09-27;Batata Inglesa;619
2022-11-15;Tomate;420
2022-12-02;Batata Inglesa;459
2022-09-20;Cebola;185
2022-08-15;Tomate;610
2022-12-07;Tomate;400
2022-01-05;Tomate;543
2022-10-21;Tomate;708
2022-10-14;Tomate;576
2022-04-21;Tomate;661
2022-11-10;Cebola;436
2022-06-03;Cebola;728
2022-06-15;Batata Inglesa;100
2022-07-22;Cebola;499
2022-11-15;Cebola;619
2022-08-17;Cebola;545
2022-08-31;Cebola;420
2022-04-01;Batata Inglesa;204
2022-05-03;Cebola;704
2022-09-14;Tomate;690
2022-11-04;Tomate;891
2022-07-25;Cebola;295
2022-04-20;Tomate;851
2022-01-07;Tomate;515
2022-10-05;Batata Inglesa;640
2022-11-30;Cebola;588
2022-09-23;Tomate;657
2022-11-16;Cebola;421
2022-07-18;Tomate;850
2022-03-03;Tomate;184
2022-12-19;Cebola;558
2022-10-03;Cebola;612
2022-03-16;Batata Inglesa;543
2022-05-26;Batata Inglesa;865
2022-06-20;Cebola;421
2022-12-15;Batata Inglesa;877
2022-02-23;Cebola;549
2022-07-25;Tomate;870
2022-08-25;Batata Inglesa;343
2022-05-04;Tomate;655
2022-01-24;Cebola;360
2022-04-22;Cebola;626
2022-04-26;Tomate;835
2022-07-25;Cebola;421
2022-10-05;Batata Inglesa;605
2022-12-23;Tomate;527
2022-05-23;Tomate;421
2022-02-15;Batata Inglesa;301
2022-03-07;Batata Inglesa;507
2022-12-14;Tomate;208
2022-12-19;Tomate;353
2022-07-26;Batata Inglesa;226
2022-03-17;Cebola;501
2022-03-08;Batata Inglesa;722
2022-10-03;Batata Inglesa;772
2022-08-23;Tomate;286
2022-09-30;Cebola;484
2022-05-11;Batata Inglesa;748
2022-05-06;Cebola;345
2022-03-09;Batata Inglesa;461
2022-02-24;Batata Inglesa;771
2022-08-26;Batata Inglesa;908
2022-10-05;Batata Inglesa;742
2022-09-28;Tomate;623
2022-10-20;Tomate;589
2022-10-12;Tomate;302
2022-03-21;Batata Inglesa;361
2022-04-15;Tomate;948
2022-12-08;Cebola;775
2022-10-18;Batata Inglesa;290
2022-08-29;Cebola;213
2022-01-07;Tomate;601
2022-12-22;Batata Inglesa;735
2022-02-23;Tomate;454
2022-01-12;Tomate;747
2022-03-30;Tomate;645
2022-05-03;Cebola;654
2022-12-30;Cebola;300
2022-06-27;Cebola;558
2022-09-19;Batata Inglesa;639
2022-03-02;Cebola;332
2022-11-01;Batata Inglesa;576
2022-09-20;Batata Inglesa;242
2022-10-06;Tomate;711
2022-12-13;Tomate;480
2022-06-27;Batata Inglesa;451
2022-02-01;Tomate;480
2022-07-08;Tomate;412
2022-10-25;Cebola;980
2022-02-23;Batata Inglesa;703
2022-04-13;Tomate;781
2022-03-03;Tomate;368
2022-08-31;Batata Inglesa;753
2022-09-13;Batata Inglesa;546
2022-11-09;Cebola;775
2022-03-31;Cebola;843
2022-01-11;Batata Inglesa;370
2022-04-19;Tomate;715
2022-03-09;Batata Inglesa;922
2022-06-20;Tomate;296
2022-03-31;Cebola;787
2022-07-08;Batata Inglesa;698
2022-06-17;Cebola;678
2022-03-01;Cebola;897
2022-07-04;Tomate;316
2022-06-15;Cebola;214
2022-03-15;Batata Inglesa;303
2022-02-18;Batata Inglesa;846
2022-06-22;Batata Inglesa;586
2022-03-22;Batata Inglesa;389
2022-07-04;Tomate;679
2022-04-21;Cebola;971
2022-02-22;Cebola;630
2022-07-13;Batata Inglesa;366
2022-03-17;Cebola;522
2022-05-27;Batata Inglesa;467
2022-09-05;Cebola;330
2022-03-09;Cebola;638
2022-03-17;Cebola;552
2022-08-01;Cebola;721
2022-10-12;Tomate;614
2022-12-14;Batata Inglesa;532
2022-09-07;Cebola;688
2022-01-26;Batata Inglesa;505
2022-11-29;Tomate;645
2022-12-23;Tomate;327
2022-12-08;Tomate;246
2022-01-20;Cebola;477
2022-10-10;Batata Inglesa;487
2022-09-29;Batata Inglesa;352
2022-03-01;Batata Inglesa;592
2022-08-22;Batata Inglesa;538
2022-11-11;Tomate;823
2022-01-11;Batata Inglesa;499
2022-02-24;Tomate;206
2022-07-13;Tomate;182
2022-04-22;Batata Inglesa;717
2022-10-04;Batata Inglesa;442
2022-09-27;Cebola;999
2022-11-11;Batata Inglesa;626
2022-06-16;Cebola;566
2022-10-31;Cebola;569
2022-06-13;Batata Inglesa;884
2022-08-08;Cebola;501
2022-07-14;Batata Inglesa;691
2022-08-30;Cebola;556
2022-03-30;Tomate;571
2022-10-20;Tomate;315
2022-06-07;Cebola;512
2022-08-11;Tomate;523
2022-12-21;Cebola;512
2022-05-10;Cebola;702
2022-05-02;Batata Inglesa;667
2022-07-05;Batata Inglesa;383
2022-01-13;Batata Inglesa;406
2022-05-06;Tomate;447
2022-09-15;Cebola;666
2022-04-13;Batata Inglesa;589
2022-06-06;Cebola;937
2022-10-24;Tomate;598
2022-06-22;Tomate;946
2022-01-31;Batata Inglesa;497
2022-01-19;Cebola;605
2022-01-04;Tomate;941
2022-08-02;Tomate;490
2022-09-20;Batata Inglesa;448
2022-07-15;Batata Inglesa;898
2022-12-30;Cebola;829
2022-05-10;Batata Inglesa;387
2022-10-26;Tomate;471
2022-07-19;Tomate;275
2022-10-13;Tomate;382
2022-12-26;Batata Inglesa;387
2022-09-14;Cebola;713
2022-01-21;Tomate;500
2022-10-03;Cebola;206
2022-02-21;Batata Inglesa;338
2022-11-09;Cebola;300
2022-12-15;Tomate;396
2022-05-12;Batata Inglesa;327
2022-03-01;Batata Inglesa;595
2022-09-19;Tomate;484
2022-11-08;Tomate;720
2022-09-12;Cebola;621
2022-10-31;Batata Inglesa;809
2022-06-22;Tomate;406
2022-04-08;Batata Inglesa;710
2022-04-14;Cebola;718
2022-10-07;Cebola;524
2022-04-28;Cebola;897
2022-09-01;Tomate;601
2022-07-14;Tomate;777
2022-08-18;Tomate;466
2022-03-02;Tomate;430
2022-04-04;Batata Inglesa;505
2022-04-01;Tomate;550
2022-07-06;Cebola;607
2022-06-10;Cebola;509
2022-06-09;Batata Inglesa;547
2022-02-23;Batata Inglesa;547
2022-01-28;Batata Inglesa;650
2022-08-04;Cebola;264
2022-07-13;Tomate;680
2022-07-19;Tomate;999
2022-11-09;Cebola;837
2022-04-25;Tomate;609
2022-09-02;Cebola;326
2022-07-05;Cebola;619
2022-01-10;Tomate;830
2022-02-03;Tomate;465
2022-03-15;Batata Inglesa;309
2022-11-07;Tomate;906
2022-10-31;Batata Inglesa;405
2022-01-17;Cebola;859
2022-08-22;Tomate;575
2022-11-25;Batata Inglesa;563
2022-07-13;Cebola;416
2022-04-28;Tomate;621
2022-04-28;Tomate;582
2022-11-01;Batata Inglesa;322
2022-09-08;Tomate;557
2022-07-14;Batata Inglesa;437
2022-12-13;Batata Inglesa;737
2022-11-10;Batata Inglesa;512
2022-03-07;Cebola;851
2022-05-25;Batata Inglesa;694
2022-11-15;Tomate;913
2022-07-07;Cebola;508
2022-06-02;Batata Inglesa;518
2022-04-07;Cebola;240
2022-06-20;Batata Inglesa;512
2022-11-03;Cebola;653
2022-12-23;Cebola;675
2022-03-29;Tomate;797
2022-04-20;Batata Inglesa;668
2022-06-27;Batata Inglesa;691
2022-03-31;Cebola;321
2022-04-07;Batata Inglesa;320
2022-09-21;Tomate;454
2022-01-26;Cebola;877
2022-11-10;Cebola;452
2022-02-24;Batata Inglesa;278
2022-03-31;Cebola;229
2022-03-02;Cebola;565
2022-07-04;Tomate;481
2022-09-29;Cebola;536
2022-01-17;Batata Inglesa;489
2022-04-27;Cebola;664
2022-12-05;Tomate;332
2022-04-01;Tomate;610
2022-01-14;Batata Inglesa;781
2022-04-26;Tomate;575
2022-08-15;Tomate;356
2022-07-06;Batata Inglesa;640
2022-06-17;Tomate;688
2022-07-26;Tomate;730
2022-11-23;Batata Inglesa;386
2022-04-13;Tomate;627
2022-07-05;Cebola;700
2022-07-26;Cebola;280
2022-03-04;Batata Inglesa;608
2022-04-28;Tomate;100
2022-08-10;Cebola;721
2022-01-31;Cebola;592
2022-09-19;Batata Inglesa;591
2022-12-01;Cebola;393
2022-04-01;Tomate;267
2022-03-02;Cebola;706
2022-04-27;Tomate;297
2022-11-21;Batata Inglesa;436
2022-09-06;Tomate;202
2022-09-29;Batata Inglesa;743
2022-03-11;Tomate;714
2022-09-09;Tomate;861
2022-07-19;Batata Inglesa;644
2022-03-01;Tomate;447
2022-01-27;Batata Inglesa;760
2022-06-14;Cebola;673
2022-03-04;Tomate;630
2022-08-24;Cebola;653
2022-11-30;Tomate;784
2022-09-12;Batata Inglesa;706
2022-03-31;Tomate;687
2022-12-15;Cebola;494
2022-03-01;Tomate;496
2022-05-17;Batata Inglesa;634
2022-09-19;Cebola;691
2022-09-07;Cebola;879
2022-09-27;Batata Inglesa;174
2022-06-24;Batata Inglesa;696
2022-05-06;Batata Inglesa;494
2022-04-29;Cebola;595
2022-02-22;Batata Inglesa;506
2022-01-28;Tomate;684
2022-04-04;Cebola;338
2022-12-13;Cebola;528
2022-05-31;Cebola;370
2022-11-15;Batata Inglesa;350
2022-12-30;Batata Inglesa;529
2022-03-11;Batata Inglesa;348
2022-08-25;Tomate;444
2022-05-27;Tomate;564
2022-04-06;Batata Inglesa;789
2022-08-23;Batata Inglesa;827
2022-02-11;Cebola;466
2022-01-14;Cebola;823
2022-11-21;Batata Inglesa;659
2022-04-08;Tomate;798
2022-07-28;Cebola;558
2022-12-21;Batata Inglesa;817
2022-10-21;Tomate;812
2022-10-14;Cebola;636
2022-05-31;Batata Inglesa;598
2022-05-27;Batata Inglesa;431
2022-09-05;Tomate;516
2022-01-17;Tomate;385
2022-02-22;Cebola;631
2022-05-09;Cebola;391
2022-03-08;Tomate;817
2022-09-20;Batata Inglesa;437
2022-06-16;Tomate;552
2022-09-16;Batata Inglesa;465
2022-08-17;Tomate;723
2022-05-27;Cebola;251
2022-11-29;Cebola;616
2022-10-19;Tomate;533
2022-01-14;Tomate;683
2022-02-14;Batata Inglesa;617
2022-08-30;Cebola;463
2022-12-20;Cebola;301
2022-08-08;Tomate;753
2022-01-14;Batata Inglesa;725
2022-08-24;Tomate;148
2022-05-03;Tomate;465
2022-02-15;Cebola;601
2022-09-21;Batata Inglesa;146
2022-06-07;Batata Inglesa;359
2022-12-20;Batata Inglesa;872
2022-11-30;Batata Inglesa;492
2022-10-20;Batata Inglesa;314
2022-10-31;Batata Inglesa;674
2022-07-14;Cebola;723
2022-06-08;Batata Inglesa;415
2022-03-18;Cebola;853
2022-01-03;Batata Inglesa;656
2022-05-31;Cebola;647
2022-12-09;Batata Inglesa;559
2022-07-29;Tomate;703
2022-04-18;Cebola;866
2022-08-17;Cebola;382
2022-01-10;Tomate;565
2022-08-19;Cebola;568
2022-01-25;Batata Inglesa;322
2022-02-23;Cebola;626
2022-05-20;Tomate;633
2022-04-07;Cebola;100
2022-03-24;Cebola;248
2022-08-05;Tomate;582
2022-04-08;Batata Inglesa;392
2022-12-16;Cebola;666
2022-08-22;Cebola;818
2022-06-28;Cebola;416
2022-02-18;Batata Inglesa;344
2022-09-15;Tomate;819
2022-06-27;Batata Inglesa;564
2022-05-06;Cebola;583
2022-08-08;Batata Inglesa;449
2022-06-15;Batata Inglesa;621
2022-06-23;Batata Inglesa;381
2022-02-22;Cebola;663
2022-11-21;Cebola;360
2022-09-12;Tomate;177
2022-06-08;Cebola;623
2022-05-25;Cebola;706
2022-07-19;Tomate;656
2022-02-23;Batata Inglesa;667
2022-12-22;Cebola;596
2022-12-15;Batata Inglesa;403
2022-02-09;Tomate;624
2022-10-24;Batata Inglesa;564
2022-08-24;Batata Inglesa;460
2022-05-09;Tomate;813
2022-04-01;Tomate;159
2022-12-23;Tomate;686
2022-02-03;Cebola;575
2022-10-13;Batata Inglesa;669
2022-02-23;Batata Inglesa;482
2022-06-01;Cebola;707
2022-01-14;Batata Inglesa;681
2022-07-15;Cebola;368
2022-08-04;Tomate;100
2022-12-26;Tomate;263
2022-12-05;Batata Inglesa;910
2022-06-07;Cebola;422
2022-01-17;Tomate;722
2022-12-16;Tomate;750
2022-09-07;Tomate;572
2022-04-12;Cebola;623
2022-12-13;Tomate;402
2022-03-29;Cebola;796
2022-07-15;Cebola;524
2022-05-26;Tomate;334
2022-01-17;Tomate;465
2022-08-31;Cebola;385
2022-11-10;Batata Inglesa;323
2022-06-02;Tomate;895
2022-03-23;Cebola;658
2022-07-06;Tomate;795
2022-04-20;Batata Inglesa;528
2022-05-03;Batata Inglesa;611
2022-06-08;Tomate;500
2022-02-28;Tomate;720
2022-10-07;Cebola;296
2022-10-07;Cebola;952
2022-07-21;Tomate;466
2022-08-12;Tomate;471
2022-07-04;Cebola;742
2022-11-18;Tomate;253
2022-07-21;Cebola;670
2022-05-09;Cebola;356
2022-10-25;Cebola;508
2022-07-21;Tomate;264
2022-02-16;Tomate;879
2022-08-09;Tomate;535
2022-12-27;Tomate;659
2022-07-25;Batata Inglesa;604
2022-11-08;Batata Inglesa;100
2022-03-23;Batata Inglesa;815
2022-04-11;Batata Inglesa;191
2022-12-06;Tomate;475
2022-01-20;Tomate;316
2022-03-02;Cebola;443
2022-09-19;Tomate;345
2022-10-07;Cebola;446
2022-05-02;Batata Inglesa;702
2022-06-07;Cebola;285
2022-07-26;Batata Inglesa;879
2022-02-11;Tomate;763
2022-10-13;Tomate;117
2022-05-12;Tomate;477
2022-04-05;Cebola;647
2022-07-28;Tomate;623
2022-01-05;Tomate;849
2022-11-11;Cebola;555
2022-06-23;Tomate;999
2022-04-21;Batata Inglesa;593
2022-12-19;Batata Inglesa;907
2022-12-20;Batata Inglesa;473
2022-03-21;Cebola;524
2022-10-06;Cebola;750
2022-03-18;Tomate;547
2022-05-20;Batata Inglesa;669
2022-02-23;Batata Inglesa;597
2022-10-10;Tomate;740
2022-11-23;Tomate;594
2022-12-15;Cebola;594
2022-02-10;Cebola;643
2022-08-04;Cebola;578
2022-01-10;Tomate;387
2022-12-09;Tomate;100
2022-11-09;Batata Inglesa;365
2022-12-20;Tomate;294
2022-10-19;Batata Inglesa;187
2022-11-25;Tomate;380
2022-04-12;Batata Inglesa;882
2022-05-27;Tomate;117
2022-11-16;Batata Inglesa;304
2022-04-14;Cebola;999
2022-03-29;Batata Inglesa;407
2022-02-10;Cebola;732
2022-11-03;Cebola;475
2022-03-21;Tomate;448
2022-05-19;Batata Inglesa;542
2022-04-12;Cebola;492
2022-02-08;Batata Inglesa;776
2022-07-05;Batata Inglesa;595
2022-01-10;Cebola;904
2022-02-16;Batata Inglesa;334
2022-08-23;Cebola;687
2022-11-23;Tomate;315
2022-07-07;Tomate;312
2022-08-24;Cebola;224
2022-07-07;Cebola;553
2022-03-10;Tomate;555
2022-07-12;Cebola;987
2022-12-08;Batata Inglesa;300
2022-07-15;Tomate;320
2022-02-07;Batata Inglesa;440
2022-08-01;Tomate;471
2022-10-05;Tomate;401
2022-03-29;Batata Inglesa;491
2022-02-16;Tomate;860
2022-07-18;Tomate;560
2022-03-22;Cebola;370
2022-08-23;Cebola;712
2022-12-08;Cebola;419
2022-04-07;Cebola;456
2022-04-19;Batata Inglesa;618
2022-06-22;Tomate;662
2022-07-21;Cebola;475
2022-04-14;Batata Inglesa;631
2022-07-07;Cebola;575
2022-10-18;Batata Inglesa;299
2022-06-20;Tomate;542
2022-03-10;Cebola;564
2022-03-04;Cebola;740
2022-01-03;Cebola;431
2022-07-11;Cebola;414
2022-02-07;Tomate;751
2022-02-14;Batata Inglesa;681
2022-09-19;Cebola;570
2022-09-21;Cebola;823
2022-07-04;Cebola;880
2022-09-29;Cebola;476
2022-09-02;Cebola;364
2022-04-15;Cebola;668
2022-08-22;Batata Inglesa;678
2022-12-20;Tomate;329
2022-03-08;Batata Inglesa;408
2022-12-29;Cebola;531
2022-01-17;Cebola;313
2022-03-31;Cebola;706
2022-10-21;Cebola;500
2022-08-09;Batata Inglesa;590
2022-09-16;Cebola;517
2022-10-07;Cebola;457
2022-01-05;Tomate;596
2022-02-23;Cebola;901
2022-05-19;Batata Inglesa;751
2022-08-16;Batata Inglesa;664
2022-06-20;Cebola;524
2022-03-08;Cebola;606
2022-02-22;Cebola;667
2022-09-19;Cebola;100
2022-10-26;Tomate;462
2022-08-23;Cebola;795
2022-03-29;Tomate;462
2022-12-21;Cebola;429
2022-10-04;Batata Inglesa;180
2022-09-21;Cebola;587
2022-06-06;Cebola;503
2022-03-18;Batata Inglesa;472
2022-03-02;Cebola;465
2022-07-13;Cebola;590
2022-05-30;Batata Inglesa;814
2022-01-27;Batata Inglesa;297
2022-09-08;Batata Inglesa;665
2022-07-21;Batata Inglesa;413
2022-06-02;Tomate;648
2022-09-28;Cebola;563
2022-02-17;Cebola;458
2022-09-29;Cebola;695
2022-01-13;Batata Inglesa;483
2022-02-17;Cebola;650
2022-11-09;Tomate;812
2022-04-26;Batata Inglesa;748
2022-09-26;Batata Inglesa;630
2022-04-27;Cebola;435
2022-05-31;Batata Inglesa;753
2022-01-20;Batata Inglesa;434
2022-09-15;Batata Inglesa;756
2022-09-29;Batata Inglesa;376
2022-07-18;Cebola;370
2022-07-28;Cebola;426
2022-04-13;Cebola;549
2022-07-11;Tomate;397
2022-02-09;Cebola;532
2022-04-12;Tomate;651
2022-04-15;Batata Inglesa;564
2022-06-16;Tomate;412
2022-01-03;Batata Inglesa;738
2022-02-14;Cebola;757
2022-12-20;Tomate;781
2022-10-06;Cebola;431
2022-06-29;Batata Inglesa;350
2022-12-08;Batata Inglesa;414
2022-01-26;Cebola;676
2022-02-04;Batata Inglesa;355
2022-07-14;Batata Inglesa;722
2022-09-29;Tomate;548
2022-11-15;Tomate;363
2022-12-21;Batata Inglesa;953
2022-04-12;Cebola;593
2022-06-07;Batata Inglesa;648
2022-07-20;Tomate;330
2022-06-03;Tomate;616
2022-04-15;Tomate;311
2022-11-25;Tomate;793
2022-12-22;Cebola;836
2022-08-04;Batata Inglesa;732
2022-07-21;Batata Inglesa;597
2022-11-28;Tomate;459
2022-05-02;Tomate;866
2022-12-29;Cebola;518
2022-06-13;Batata Inglesa;494
2022-05-24;Batata Inglesa;244
2022-10-19;Cebola;613
2022-10-28;Tomate;607
2022-09-23;Cebola;772
2022-08-02;Cebola;427
2022-11-02;Cebola;762
2022-09-30;Cebola;330
2022-05-19;Batata Inglesa;348
2022-09-06;Tomate;721
2022-11-02;Tomate;191
2022-01-25;Tomate;612
